X	Y	Z	FIELD_VALUE
0.0231100000	0.2500000000	0.2500000000	0.0021831925
0.0156852663	0.2488663727	0.2511336273	0.0021522324
0.0179428807	0.2455949858	0.2544050142	0.0021692710
0.0203266114	0.2423686414	0.2576313586	0.0022043751
0.0227410548	0.2391537363	0.2608462637	0.0022550669
0.0251761716	0.2359466368	0.2640533632	0.0023191661
0.0276188940	0.2327424307	0.2672575693	0.0023947109
0.0300630299	0.2295387635	0.2704612365	0.0024799622
0.0325053531	0.2263344051	0.2736655949	0.0025732071
0.0349440020	0.2231286479	0.2768713521	0.0026729618
0.0373747301	0.2199198842	0.2800801158	0.0027777567
0.0398054582	0.2167111206	0.2832888794	0.0028861824
0.0422318284	0.2135007083	0.2864992917	0.0029969239
0.0446540939	0.2102887464	0.2897112536	0.0031087251
0.0470727524	0.2070754259	0.2929245741	0.0032204063
0.0494885193	0.2038610178	0.2961389822	0.0033308770
0.0519023283	0.2006458745	0.2993541255	0.0034391521
0.0543153582	0.1974304388	0.3025695612	0.0035443696
0.0567290897	0.1942152663	0.3057847337	0.0036458096
0.0591454473	0.1910010803	0.3089989197	0.0037429126
0.0615675558	0.1877890593	0.3122109407	0.0038353059
0.0640114362	0.1845852947	0.3154147053	0.0039227767
0.0664553166	0.1813815300	0.3186184700	0.0040053393
0.0689159580	0.1781841865	0.3218158135	0.0040832000
0.0713999444	0.1749958814	0.3250041186	0.0041567856
0.0739142775	0.1718194922	0.3281805078	0.0042266355
0.0764686221	0.1686591053	0.3313408947	0.0042935758
0.0790750870	0.1655200682	0.3344799318	0.0043585023
0.0817485646	0.1624093380	0.3375906620	0.0044224625
0.0845066679	0.1593357705	0.3406642295	0.0044865103
0.0873686653	0.1563100691	0.3436899309	0.0045517643
0.0903533868	0.1533442467	0.3466557533	0.0046192623
0.0934760583	0.1504503143	0.3495496857	0.0046899005
0.0967452503	0.1476384509	0.3523615491	0.0047643508
0.1001612681	0.1449152552	0.3550847448	0.0048429899
0.1037166970	0.1422827950	0.3577172049	0.0049258538
0.1073986675	0.1397387962	0.3602612038	0.0050126307
0.1111916792	0.1372777162	0.3627222838	0.0051026919
0.1150799733	0.1348921412	0.3651078588	0.0051951315
0.1190490160	0.1325740096	0.3674259904	0.0052889435
0.1230862069	0.1303154861	0.3696845139	0.0053828417
0.1271814208	0.1281098127	0.3718901873	0.0054756482
0.1313605887	0.1259843336	0.3740156664	0.0055661037
0.1355397565	0.1238588544	0.3761411456	0.0056529997
0.1397557361	0.1217700410	0.3782299590	0.0057351909
0.1440035008	0.1197136773	0.3802863227	0.0058116231
0.1482789062	0.1176861572	0.3823138428	0.0058813442
0.1525784075	0.1156842761	0.3843157239	0.0059435078
0.1568989568	0.1137051827	0.3862948173	0.0059973952
0.1612377678	0.1117461668	0.3882538332	0.0060423429
0.1655922028	0.1098045613	0.3901954387	0.0060778561
0.1699600455	0.1078780727	0.3921219273	0.0061035299
0.1743357868	0.1059605671	0.3940394329	0.0061190664
0.1787292443	0.1040634246	0.3959365754	0.0061242715
0.1831227017	0.1021662822	0.3978337178	0.0061190516
0.1875262053	0.1002808216	0.3997191784	0.0061034101
0.1919297422	0.0983953999	0.4016046001	0.0060774433
0.1963324365	0.0965089945	0.4034910055	0.0060413360
0.2007323549	0.0946193536	0.4053806464	0.0059953566
0.2051273407	0.0927239820	0.4072760180	0.0059398249
0.2095151878	0.0908203584	0.4091796416	0.0058752390
0.2139030348	0.0889167348	0.4110832652	0.0058020218
0.2182732423	0.0869929295	0.4130070705	0.0057207466
0.2226299528	0.0850538780	0.4149461220	0.0056320295
0.2269711798	0.0830975402	0.4169024598	0.0055365455
0.2312948717	0.0811218814	0.4188781186	0.0054350083
0.2355988899	0.0791248593	0.4208751407	0.0053282094
0.2398810435	0.0771044721	0.4228955279	0.0052170373
0.2441390026	0.0750586775	0.4249413225	0.0051024044
0.2483701406	0.0729852457	0.4270147543	0.0049852728
0.2525712973	0.0708815525	0.4291184475	0.0048667013
0.2567384146	0.0687442762	0.4312557238	0.0047478344
0.2609055319	0.0666069998	0.4333930002	0.0046299266
0.2649974403	0.0643982611	0.4356017389	0.0045143219
0.2690341534	0.0621393106	0.4378606894	0.0044024909
0.2730009610	0.0598192670	0.4401807330	0.0042960490
0.2768729706	0.0574204851	0.4425795149	0.0041966773
0.2806075388	0.0549151142	0.4450848858	0.0041062041
0.2841749924	0.0522908007	0.4477091993	0.0040264646
0.2873956318	0.0494510605	0.4505489395	0.0039589779
0.2900368777	0.0463265935	0.4536734065	0.0039044378
0.2917620910	0.0428969867	0.4571030133	0.0038616469
0.2924373392	0.0392883299	0.4607116701	0.0038276135
0.2925854724	0.0356497296	0.4643502704	0.0037992934
0.2920161874	0.0320319484	0.4679680516	0.0037750271
0.2914015596	0.0284178787	0.4715821213	0.0037542380
0.2908592635	0.0247980249	0.4752019751	0.0037366883
0.2903878664	0.0211732110	0.4788267890	0.0037221434
0.2899779179	0.0175446638	0.4824553362	0.0037103330
0.2896939301	0.0139100993	0.4860899007	0.0037011092
0.2894850008	0.0102729908	0.4897270092	0.0036942321
0.2893405887	0.0066343158	0.4933656842	0.0036895582
0.2892634047	0.0029946173	0.4970053827	0.0036869287
0.2892424250	0.0000000000	0.5000000000	0.0036862611
0.2892634047	-0.0029946173	0.5029946173	0.0036869287
0.2893405887	-0.0066343158	0.5066343158	0.0036895582
0.2894850008	-0.0102729908	0.5102729908	0.0036942321
0.2896939301	-0.0139100993	0.5139100993	0.0037011092
0.2899779179	-0.0175446638	0.5175446638	0.0037103330
0.2903878664	-0.0211732110	0.5211732110	0.0037221434
0.2908592635	-0.0247980249	0.5247980249	0.0037366883
0.2914015596	-0.0284178787	0.5284178787	0.0037542380
