N	X	Y	Z	FIELD_VALUE
0	0.0231100000	0.2500000000	0.2500000000	0.0020402405
0	0.0169315830	0.2527087936	0.2504512411	0.0020227099
0	0.0170205901	0.2491293885	0.2467524976	0.0020158782
0	0.0171023477	0.2455535967	0.2430500935	0.0020045206
0	0.0171729467	0.2419836129	0.2393418595	0.0019887444
0	0.0172324819	0.2384206473	0.2356266881	0.0019686945
0	0.0172814322	0.2348655264	0.2319038549	0.0019446163
0	0.0173204472	0.2313191659	0.2281725586	0.0019168307
0	0.0173502785	0.2277826724	0.2244318246	0.0018857040
0	0.0173801098	0.2242461789	0.2206910905	0.0018516786
0	0.0173938874	0.2207303575	0.2169308276	0.0018152334
0	0.0173997827	0.2172289397	0.2131571284	0.0017769008
0	0.0173990717	0.2137434674	0.2093686920	0.0017372412
0	0.0173929202	0.2102763467	0.2055634583	0.0016968281
0	0.0173828363	0.2068306637	0.2017388101	0.0016562823
0	0.0173707754	0.2034105035	0.1978913269	0.0016162624
0	0.0173594915	0.2000213905	0.1940164653	0.0015774545
0	0.0173532495	0.1966712886	0.1901078152	0.0015405576
0	0.0173589234	0.1933724967	0.1861557641	0.0015063181
0	0.0173885486	0.1901458935	0.1821446644	0.0014755290
0	0.0174181737	0.1869192902	0.1781335647	0.0014490364
0	0.0175456580	0.1839226496	0.1739497076	0.0014277659
0	0.0178229123	0.1812109637	0.1695827113	0.0014126272
0	0.0184744620	0.1791710282	0.1649013745	0.0014043455
0	0.0205560458	0.1797499598	0.1599778884	0.0014021348
0	0.0233649160	0.1817688798	0.1555084264	0.0014037959
0	0.0259149442	0.1835627655	0.1514120746	0.0014075469
0	0.0284613954	0.1853365978	0.1473047796	0.0014126428
0	0.0310065230	0.1870970275	0.1431909030	0.0014184546
0	0.0335526316	0.1888323730	0.1390669881	0.0014244365
0	0.0361021203	0.1905514901	0.1349383671	0.0014301199
0	0.0386560646	0.1922555569	0.1308062621	0.0014351562
