X	Y	Z	FIELD_VALUE
0.0805155000	0.8375345000	0.9308565000	0.0054575893
0.0796870678	0.8369616679	0.9323092806	0.0054539798
0.0779387813	0.8405366749	0.9327085052	0.0054215401
0.0762331937	0.8441473039	0.9329123903	0.0054014665
0.0744395761	0.8484243240	0.9324941201	0.0053933760
0.0753715126	0.8461344669	0.9327826159	0.0053956791
0.0770030719	0.8424855263	0.9328710300	0.0054091209
0.0787176022	0.8388807571	0.9326380719	0.0054348145
0.0805070334	0.8353548453	0.9320217215	0.0054729444
0.0823413228	0.8318983859	0.9311673368	0.0055233789
0.0842101349	0.8285047931	0.9301383642	0.0055856761
0.0861093849	0.8251650815	0.9289858857	0.0056590801
0.0880630813	0.8218977565	0.9277131902	0.0057425415
0.0900167778	0.8186304315	0.9264404948	0.0058347650
0.0919978275	0.8153930076	0.9251312627	0.0059342650
0.0940063641	0.8121787429	0.9238056470	0.0060393874
0.0960428478	0.8089818404	0.9224807414	0.0061484016
0.0981079973	0.8057972957	0.9211717983	0.0062594182
0.1002027804	0.8026208010	0.9198930985	0.0063705753
0.1023284296	0.7994486683	0.9186587219	0.0064799929
0.1044864347	0.7962778063	0.9174831670	0.0065858972
0.1066784674	0.7931057361	0.9163818636	0.0066866300
0.1089063406	0.7899307147	0.9153716621	0.0067807106
0.1111718444	0.7867519081	0.9144712308	0.0068668773
0.1134764939	0.7835696592	0.9137013431	0.0069441230
0.1158209798	0.7803857053	0.9130850447	0.0070116928
0.1182080276	0.7772062275	0.9126467859	0.0070690483
0.1206279958	0.7740316779	0.9124139111	0.0071159565
0.1230883084	0.7708803592	0.9124118518	0.0071523239
0.1255745060	0.7677599163	0.9126787708	0.0071781746
0.1280714025	0.7646619585	0.9130852002	0.0071936359
0.1305787642	0.7616919838	0.9140607131	0.0071987721
0.1330861259	0.7587220090	0.9150362259	0.0071936124
0.1355522399	0.7559347587	0.9165583153	0.0071780689
0.1379921266	0.7532229997	0.9182633879	0.0071519325
0.1403935586	0.7506015056	0.9201692215	0.0071150781
0.1427526848	0.7480765828	0.9222645965	0.0070674460
0.1450633591	0.7456438296	0.9245300983	0.0070090687
0.1473255665	0.7432982274	0.9269436824	0.0069402423
0.1495393672	0.7410318834	0.9294848647	0.0068614646
0.1517058523	0.7388362944	0.9321354299	0.0067734616
0.1538264352	0.7367028030	0.9348797163	0.0066772319
0.1559025261	0.7346229333	0.9377044650	0.0065739856
0.1579786169	0.7325430637	0.9405292137	0.0064651743
0.1599693753	0.7305526748	0.9434875160	0.0063523139
0.1619173485	0.7285936379	0.9464989956	0.0062369776
0.1638234297	0.7266574305	0.9495552842	0.0061208600
0.1656870908	0.7247368328	0.9526504299	0.0060056486
0.1675071918	0.7228246204	0.9557791801	0.0058929605
0.1692819910	0.7209134632	0.9589367591	0.0057843024
0.1710091258	0.7189958033	0.9621186652	0.0056810887
0.1726855398	0.7170637932	0.9653205394	0.0055845728
0.1743074654	0.7151092670	0.9685380123	0.0054958554
0.1758703358	0.7131237549	0.9717666025	0.0054159469
0.1773685071	0.7110987278	0.9750018403	0.0053456006
0.1788666784	0.7090737007	0.9782370782	0.0052855025
0.1802307534	0.7069606131	0.9814755723	0.0052362007
0.1815053606	0.7047865805	0.9847098385	0.0051981463
0.1826682812	0.7025483637	0.9879422645	0.0051717491
0.1837389605	0.7002777796	0.9911847688	0.0051573877
0.1843563107	0.6987884389	0.9933483832	0.0051546801
0.1847723226	0.6970092336	0.9966493269	0.0051600613
0.1846341338	0.6950424869	1.0002736890	0.0051786351
0.1838521861	0.6930058730	1.0037649685	0.0052114003
0.1827603306	0.6909403388	1.0071457392	0.0052592418
0.1812110000	0.6812110000	1.0000000000	0.0053578099
