N	X	Y	Z	FIELD_VALUE
0	0.0805155000	0.8375345000	0.9308565000	0.0054045177
0	0.0788641365	0.8384871663	0.9265592100	0.0053829793
0	0.0771281636	0.8418474567	0.9279094039	0.0052587906
0	0.0754212315	0.8452554336	0.9291668282	0.0051455315
0	0.0737444837	0.8487136377	0.9303146642	0.0050433680
0	0.0720991546	0.8522229311	0.9313365856	0.0049522806
0	0.0704865758	0.8557817955	0.9322195980	0.0048721874
0	0.0688739969	0.8593406599	0.9331026105	0.0048028728
0	0.0673272840	0.8629805743	0.9337126035	0.0047439234
0	0.0658166196	0.8666542408	0.9341855918	0.0046949880
0	0.0643389662	0.8703519364	0.9345577429	0.0046557303
0	0.0628884190	0.8740646839	0.9348795555	0.0046259378
0	0.0614515403	0.8777821261	0.9352090120	0.0046053744
0	0.0600193017	0.8814955511	0.9356032378	0.0045938984
0	0.0588496672	0.8844356652	0.9360250375	0.0045911067
0	0.0580517380	0.8862644512	0.9363666496	0.0045922156
0	0.0564226122	0.8898353733	0.9371591820	0.0046008444
0	0.0547607888	0.8933694541	0.9380510915	0.0046177735
0	0.0530817979	0.8968669340	0.9390574185	0.0046426952
0	0.0513988690	0.9003177607	0.9402194535	0.0046752211
0	0.0497173045	0.9037464916	0.9414524906	0.0047149387
0	0.0480401158	0.9071446730	0.9427802011	0.0047613316
0	0.0463689024	0.9105131686	0.9441953595	0.0048138632
0	0.0447042564	0.9138526158	0.9456913737	0.0048718749
0	0.0430462345	0.9171636034	0.9472621980	0.0049346187
0	0.0413945880	0.9204468233	0.9489020876	0.0050012054
0	0.0397490632	0.9237031226	0.9506057097	0.0050707140
0	0.0381093333	0.9269335098	0.9523679598	0.0051420586
0	0.0364750493	0.9301391648	0.9541839277	0.0052140815
0	0.0348458796	0.9333213654	0.9560490173	0.0052855221
0	0.0332214653	0.9364815459	0.9579587340	0.0053550871
0	0.0316014811	0.9396211778	0.9599089132	0.0054214130
0	0.0299856729	0.9427414056	0.9618963174	0.0054831813
0	0.0283763700	0.9458314878	0.9639398083	0.0055391368
0	0.0267670671	0.9489215700	0.9659832992	0.0055881142
0	0.0251607844	0.9519977779	0.9680519471	0.0056291482
0	0.0235572302	0.9550621601	0.9701418441	0.0056614359
0	0.0219569102	0.9581107321	0.9722593595	0.0056844969
0	0.0203578543	0.9611540190	0.9743861473	0.0056981751
0	0.0187621625	0.9641802157	0.9765419618	0.0057026339
0	0.0171664707	0.9672064124	0.9786977764	0.0056984127
0	0.0155727272	0.9702206014	0.9808733331	0.0056864667
0	0.0139789180	0.9732333401	0.9830510179	0.0056681265
0	0.0123844810	0.9762446932	0.9852302842	0.0056450936
0	0.0107884719	0.9792571536	0.9874066371	0.0056194838
0	0.0091897310	0.9822733589	0.9895751662	0.0055937949
0	0.0075864777	0.9852975118	0.9917280010	0.0055708871
0	0.0059783799	0.9883305550	0.9938632591	0.0055540155
0	0.0042479161	0.9915958288	0.9960725464	0.0055468419
0	0.0019203543	0.9960527028	0.9972081086	0.0055615480
0	0.0000946283	0.9995401857	0.9964800464	0.0055986256
0	0.0000000000	1.0000000000	1.0000000000	0.0056052339
1	0.0805155000	0.8375345000	0.9308565000	0.0054575893
1	0.0796870678	0.8369616679	0.9323092806	0.0054539798
1	0.0779387813	0.8405366749	0.9327085052	0.0054215401
1	0.0762331937	0.8441473039	0.9329123903	0.0054014665
1	0.0744395761	0.8484243240	0.9324941201	0.0053933760
1	0.0753715126	0.8461344669	0.9327826159	0.0053956791
1	0.0770030719	0.8424855263	0.9328710300	0.0054091209
1	0.0787176022	0.8388807571	0.9326380719	0.0054348145
1	0.0805070334	0.8353548453	0.9320217215	0.0054729444
1	0.0823413228	0.8318983859	0.9311673368	0.0055233789
1	0.0842101349	0.8285047931	0.9301383642	0.0055856761
1	0.0861093849	0.8251650815	0.9289858857	0.0056590801
1	0.0880630813	0.8218977565	0.9277131902	0.0057425415
1	0.0900167778	0.8186304315	0.9264404948	0.0058347650
1	0.0919978275	0.8153930076	0.9251312627	0.0059342650
1	0.0940063641	0.8121787429	0.9238056470	0.0060393874
1	0.0960428478	0.8089818404	0.9224807414	0.0061484016
1	0.0981079973	0.8057972957	0.9211717983	0.0062594182
1	0.1002027804	0.8026208010	0.9198930985	0.0063705753
1	0.1023284296	0.7994486683	0.9186587219	0.0064799929
1	0.1044864347	0.7962778063	0.9174831670	0.0065858972
1	0.1066784674	0.7931057361	0.9163818636	0.0066866300
1	0.1089063406	0.7899307147	0.9153716621	0.0067807106
1	0.1111718444	0.7867519081	0.9144712308	0.0068668773
1	0.1134764939	0.7835696592	0.9137013431	0.0069441230
1	0.1158209798	0.7803857053	0.9130850447	0.0070116928
1	0.1182080276	0.7772062275	0.9126467859	0.0070690483
1	0.1206279958	0.7740316779	0.9124139111	0.0071159565
1	0.1230883084	0.7708803592	0.9124118518	0.0071523239
1	0.1255745060	0.7677599163	0.9126787708	0.0071781746
1	0.1280714025	0.7646619585	0.9130852002	0.0071936359
1	0.1305787642	0.7616919838	0.9140607131	0.0071987721
1	0.1330861259	0.7587220090	0.9150362259	0.0071936124
1	0.1355522399	0.7559347587	0.9165583153	0.0071780689
1	0.1379921266	0.7532229997	0.9182633879	0.0071519325
1	0.1403935586	0.7506015056	0.9201692215	0.0071150781
1	0.1427526848	0.7480765828	0.9222645965	0.0070674460
1	0.1450633591	0.7456438296	0.9245300983	0.0070090687
1	0.1473255665	0.7432982274	0.9269436824	0.0069402423
1	0.1495393672	0.7410318834	0.9294848647	0.0068614646
1	0.1517058523	0.7388362944	0.9321354299	0.0067734616
1	0.1538264352	0.7367028030	0.9348797163	0.0066772319
1	0.1559025261	0.7346229333	0.9377044650	0.0065739856
1	0.1579786169	0.7325430637	0.9405292137	0.0064651743
1	0.1599693753	0.7305526748	0.9434875160	0.0063523139
1	0.1619173485	0.7285936379	0.9464989956	0.0062369776
1	0.1638234297	0.7266574305	0.9495552842	0.0061208600
1	0.1656870908	0.7247368328	0.9526504299	0.0060056486
1	0.1675071918	0.7228246204	0.9557791801	0.0058929605
1	0.1692819910	0.7209134632	0.9589367591	0.0057843024
1	0.1710091258	0.7189958033	0.9621186652	0.0056810887
1	0.1726855398	0.7170637932	0.9653205394	0.0055845728
1	0.1743074654	0.7151092670	0.9685380123	0.0054958554
1	0.1758703358	0.7131237549	0.9717666025	0.0054159469
1	0.1773685071	0.7110987278	0.9750018403	0.0053456006
1	0.1788666784	0.7090737007	0.9782370782	0.0052855025
1	0.1802307534	0.7069606131	0.9814755723	0.0052362007
1	0.1815053606	0.7047865805	0.9847098385	0.0051981463
1	0.1826682812	0.7025483637	0.9879422645	0.0051717491
1	0.1837389605	0.7002777796	0.9911847688	0.0051573877
1	0.1843563107	0.6987884389	0.9933483832	0.0051546801
1	0.1847723226	0.6970092336	0.9966493269	0.0051600613
1	0.1846341338	0.6950424869	1.0002736890	0.0051786351
1	0.1838521861	0.6930058730	1.0037649685	0.0052114003
1	0.1827603306	0.6909403388	1.0071457392	0.0052592418
1	0.1812110000	0.6812110000	1.0000000000	0.0053578099
2	0.0805155000	0.8375345000	0.9308565000	0.0055032603
2	0.0808559766	0.8385081684	0.9326302844	0.0055092331
2	0.0792255109	0.8414218569	0.9303386886	0.0054369051
2	0.0777587049	0.8445712928	0.9282772101	0.0053828980
2	0.0764903258	0.8479886803	0.9265659833	0.0053461425
2	0.0753390224	0.8515444323	0.9250867281	0.0053253156
2	0.0745364907	0.8551202943	0.9243415073	0.0053191280
2	0.0760404529	0.8510208599	0.9237070478	0.0053279136
2	0.0776070393	0.8474841610	0.9226538247	0.0053510466
2	0.0792779904	0.8440811547	0.9213310020	0.0053884397
2	0.0809876822	0.8407338365	0.9199111964	0.0054396274
2	0.0827451300	0.8374570540	0.9183803725	0.0055038010
2	0.0845421075	0.8342383210	0.9167678279	0.0055799707
2	0.0863737304	0.8310696666	0.9150911829	0.0056669730
2	0.0882367944	0.8279458837	0.9133615585	0.0057634622
2	0.0901292043	0.8248638680	0.9115857793	0.0058679578
2	0.0920726319	0.8218561184	0.9097332129	0.0059787771
2	0.0940160594	0.8188483689	0.9078806466	0.0060941592
2	0.0959851897	0.8158798101	0.9059893146	0.0062122571
2	0.0979794607	0.8129512158	0.9040593258	0.0063311520
2	0.0999986411	0.8100643210	0.9020896474	0.0064489468
2	0.1020428457	0.8072219282	0.9000781597	0.0065638194
2	0.1041125288	0.8044280414	0.8980216716	0.0066740894
2	0.1062084848	0.8016881118	0.8959158372	0.0067782154
2	0.1083318472	0.7990094046	0.8937550018	0.0068749316
2	0.1104842405	0.7964016712	0.8915319748	0.0069631733
2	0.1126678948	0.7938786051	0.8892371139	0.0070422378
2	0.1149196294	0.7915799820	0.8867645347	0.0071117486
2	0.1171713639	0.7892813589	0.8842919554	0.0071716608
2	0.1194591360	0.7871265850	0.8817167555	0.0072220937
2	0.1217787648	0.7851398766	0.8790282418	0.0072634582
2	0.1241290377	0.7833250820	0.8762385496	0.0072963338
2	0.1265151590	0.7818505389	0.8732698198	0.0073213848
2	0.1289160397	0.7806942454	0.8701640468	0.0073391722
2	0.1313177305	0.7797278369	0.8669892558	0.0073499063
2	0.1336844021	0.7793966116	0.8636492448	0.0073535511
2	0.1360510738	0.7790653863	0.8603092338	0.0073497078
2	0.1383359198	0.7793045350	0.8568995394	0.0073376429
2	0.1405777140	0.7797527331	0.8534817033	0.0073165297
2	0.1428195083	0.7802009311	0.8500638673	0.0072855912
2	0.1450004403	0.7809226417	0.8466541120	0.0072442488
2	0.1471316478	0.7817899015	0.8432470416	0.0071920757
2	0.1492268192	0.7827830567	0.8398530504	0.0071289881
2	0.1512837345	0.7838800200	0.8364683712	0.0070551695
2	0.1533048670	0.7850660291	0.8330929067	0.0069711833
2	0.1552913608	0.7863290674	0.8297254671	0.0068778727
2	0.1572438505	0.7876591847	0.8263644839	0.0067763389
2	0.1591624932	0.7890479460	0.8230080948	0.0066679521
2	0.1610470210	0.7904879647	0.8196541738	0.0065542750
2	0.1628967635	0.7919725194	0.8163003098	0.0064369651
2	0.1647106593	0.7934952197	0.8129437567	0.0063178194
2	0.1665245550	0.7950179199	0.8095872037	0.0061986296
2	0.1682680975	0.7966000740	0.8062200428	0.0060811854
2	0.1699703455	0.7982021527	0.8028401915	0.0059671769
2	0.1716298350	0.7998147248	0.7994427137	0.0058582238
2	0.1732441292	0.8014271182	0.7960215805	0.0057558400
2	0.1748105074	0.8030255787	0.7925693015	0.0056613756
2	0.1763260144	0.8045917194	0.7890765168	0.0055759907
2	0.1777873313	0.8061003633	0.7855315632	0.0055007482
2	0.1791906207	0.8075160972	0.7819201579	0.0054364549
2	0.1805775579	0.8088971678	0.7782873807	0.0053836861
2	0.1818334396	0.8099474710	0.7744865267	0.0053428126
